iso_code,continent,location,date,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,population
AFG,Asia,Afghanistan,12/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,13/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,14/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,15/08/2020,60.19,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,16/08/2020,60.19,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,17/08/2020,60.19,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,18/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,19/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,20/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,21/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,22/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,23/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,24/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,25/08/2020,48.15,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,26/08/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,27/08/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,28/08/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,29/08/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,30/08/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,31/08/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,01/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,02/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,03/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,04/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,05/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,06/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,07/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,08/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,09/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,10/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,11/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,12/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,13/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,14/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,15/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,16/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,17/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,18/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,19/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,20/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,21/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,22/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,23/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,24/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,25/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,26/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,27/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,28/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,29/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,30/09/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,01/10/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,02/10/2020,28.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,03/10/2020,25,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,04/10/2020,25,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,05/10/2020,25,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,06/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,07/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,08/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,09/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,10/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,11/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,12/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,13/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,14/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,15/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,16/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,17/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,18/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,19/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,20/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,21/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,22/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,23/10/2020,16.67,54.422,18.6,2.581,1.337,1803.987,41128772
